City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,port alfred,-33.5906,26.891,17.88,73,97,4.02,ZA,1695740176
272,susuman,62.7833,148.1667,-4.38,86,54,0.86,RU,1695740177
273,khenifra,32.9333,-5.6667,32.14,26,0,2.88,MA,1695740177
274,boquira,-12.8231,-42.7306,38.64,17,0,2.15,BR,1695740177
275,anadyr,64.75,177.4833,-2.72,93,0,2.0,RU,1695740177
276,okondja,-0.6549,13.6753,31.03,56,59,1.73,GA,1695740178
277,fortaleza,-3.7227,-38.5247,30.07,62,75,8.23,BR,1695740178
278,divino das laranjeiras,-18.7778,-41.4797,36.21,28,94,4.31,BR,1695740178
279,belyy yar,53.6039,91.3903,5.94,81,75,0.0,RU,1695740178
280,kapa'a,22.0752,-159.319,25.18,83,40,5.14,US,1695740179
281,vadso,70.0744,29.7487,9.49,87,100,3.6,NO,1695740179
282,tevriz,57.509,72.4042,10.7,82,90,3.07,RU,1695740179
283,chonchi,-42.6128,-73.8092,9.51,66,94,2.25,CL,1695740179
284,east london,-33.0153,27.9116,15.52,82,75,11.32,ZA,1695740180
285,el calafate,-50.3408,-72.2768,4.78,68,100,0.47,AR,1695740180
286,minas de marcona,-15.2119,-75.1103,15.81,67,65,7.37,PE,1695740180
287,soto la marina,23.7667,-98.2167,29.92,58,14,0.5,MX,1695740180
288,torbat-e jam,35.244,60.6225,19.13,30,0,4.57,IR,1695740180
289,tangalle,6.024,80.7911,26.09,83,100,5.06,LK,1695740181
290,staritsa,56.5075,34.9354,12.47,72,99,1.61,RU,1695740181
291,viedma,-40.8135,-62.9967,15.32,54,46,2.1,AR,1695740181
292,bhimunipatnam,17.8833,83.4333,28.73,82,66,2.2,IN,1695740181
293,weno,7.4515,151.8468,25.97,94,100,1.54,FM,1695740182
294,karkkila,60.5342,24.2098,17.03,76,100,3.73,FI,1695740182
295,boston,42.3584,-71.0598,15.53,79,100,9.77,US,1695739351
296,nizhniy kuranakh,58.8353,125.4869,4.79,89,46,1.05,RU,1695740182
297,gaitania,3.0906,-75.6723,25.11,47,79,2.68,CO,1695740183
298,priargunsk,50.3691,119.1012,9.26,85,95,2.13,RU,1695740183
299,papatowai,-46.5619,169.4708,4.07,90,32,2.23,NZ,1695740183
300,khandyga,62.6667,135.6,0.83,89,66,1.04,RU,1695740183
301,sabang,5.8933,95.3214,27.91,78,100,6.87,ID,1695740183
302,harper,4.375,-7.7169,26.4,82,54,4.28,LR,1695740184
303,khodzha-maston,38.7446,68.627,15.68,33,0,2.0,TJ,1695740184
304,horodnytsya,50.807,27.3168,23.79,52,12,2.6,UA,1695740184
305,el granada,37.5027,-122.4694,18.9,93,100,4.12,US,1695740184
306,zeya,53.75,127.2667,9.1,95,100,1.38,RU,1695740185
307,westport,41.1415,-73.3579,16.46,88,100,7.2,US,1695739907
308,hemsby,52.6971,1.6918,23.37,75,52,7.57,GB,1695740185
309,nantucket,41.2835,-70.0995,16.16,86,100,8.23,US,1695740150
310,sechura,-5.5569,-80.8222,24.35,60,7,4.16,PE,1695740185
311,kenai,60.5544,-151.2583,-0.97,100,0,1.54,US,1695740186
312,gumdag,39.2061,54.5906,24.45,22,100,3.33,TM,1695740186
313,bezhetsk,57.7851,36.6965,12.1,70,100,2.56,RU,1695740186
314,kavaratti,10.5669,72.642,28.56,75,87,5.91,IN,1695740187
315,portland,45.5234,-122.6762,13.99,95,100,4.02,US,1695739410
316,ripky,51.801,31.0838,22.28,39,0,2.94,UA,1695740187
317,sur,22.5667,59.5289,28.85,59,100,0.94,OM,1695740187
318,kendari,-3.945,122.4989,22.17,84,30,0.86,ID,1695740187
319,wau,7.7029,27.9953,28.37,63,87,1.89,SS,1695740188
320,tashtagol,52.7657,87.8894,1.83,95,13,1.44,RU,1695740188
321,callao,-12.0667,-77.15,19.84,82,100,2.57,PE,1695739967
322,saint-pol-de-leon,48.6833,-3.9833,22.11,73,100,5.14,FR,1695740188
323,kurchum,48.5722,83.6542,8.46,56,4,3.36,KZ,1695740189
324,shache,38.4167,77.2406,19.2,18,55,1.64,CN,1695740189
325,sindgi,16.9167,76.2333,26.82,70,70,3.14,IN,1695740189
326,katsuura,35.1333,140.3,23.76,88,27,1.5,JP,1695740190
327,akrehamn,59.2667,5.1833,19.44,67,40,7.2,NO,1695740190
328,grantsville,40.5999,-112.4644,22.27,27,0,0.0,US,1695740190
329,opuwo,-18.0607,13.84,32.73,3,0,1.47,NA,1695740191
330,camiri,-20.05,-63.5167,29.88,54,0,0.0,BO,1695740191
331,bridgewater,44.3835,-64.5155,15.62,66,0,4.63,CA,1695740175
332,aguilar de campoo,42.7945,-4.2589,25.1,27,1,2.86,ES,1695740191
333,pacific grove,36.6177,-121.9166,18.06,81,100,1.34,US,1695739946
334,broken hill,-31.95,141.4333,18.21,40,22,3.47,AU,1695740192
335,zambezi,-13.5432,23.1047,30.17,32,93,3.42,ZM,1695740192
336,arauca,7.0847,-70.7591,30.98,70,0,1.03,CO,1695740192
337,nouadhibou,20.931,-17.0347,25.11,65,100,8.12,MR,1695740123
338,lerwick,60.1545,-1.1494,14.0,88,100,12.26,GB,1695740193
339,walterboro,32.9052,-80.6668,27.81,69,0,1.54,US,1695739936
340,malanje,-9.5402,16.341,29.39,41,64,2.93,AO,1695740193
341,mar del plata,-38.0023,-57.5575,13.01,71,0,1.54,AR,1695740042
342,palikir - national government center,6.9248,158.1611,25.41,94,100,1.54,FM,1695740193
343,barentu,15.1139,37.5928,29.95,46,97,4.83,ER,1695740193
344,techiman,7.5862,-1.9414,27.88,76,59,1.96,GH,1695740194
345,amungan,15.3652,119.9582,26.83,82,10,1.47,PH,1695740194
346,arawa,-6.2132,155.5367,24.13,89,100,1.63,PG,1695740194
347,chipinge,-20.1883,32.6236,25.13,45,80,3.3,ZW,1695740194
348,kyosai,34.8503,128.5886,22.98,85,4,4.2,KR,1695740195
349,constitucion,-35.3333,-72.4167,13.45,60,3,6.09,CL,1695740195
350,poshekhon'ye,58.4993,39.1353,14.56,77,100,2.43,RU,1695740195
351,nago,26.5881,127.9761,27.47,82,2,4.41,JP,1695740195
352,carnarvon,-24.8667,113.6333,21.26,71,0,6.67,AU,1695740196
353,franceville,-1.6333,13.5836,33.25,52,75,1.06,GA,1695740196
354,trat,12.5,102.5,23.23,95,95,0.99,TH,1695740196
355,hood river,45.7054,-121.5215,13.83,98,100,0.89,US,1695740196
356,alofi,-19.0595,-169.9187,21.94,83,100,1.54,NU,1695740196
357,berdigestyakh,62.0989,126.6992,4.98,91,3,1.63,RU,1695740197
358,baniachang,24.5167,91.3667,28.43,79,37,2.21,BD,1695740197
359,tanumah,27.1,44.1333,35.61,8,0,5.45,SA,1695740197
360,recani,31.2846,-4.2688,36.2,11,0,3.07,MA,1695740197
361,udachny,66.4167,112.4,1.36,92,100,6.75,RU,1695740198
362,al hamul,31.3115,31.1477,29.14,48,0,5.06,EG,1695740198
363,belomorsk,64.5232,34.7668,13.22,82,98,4.89,RU,1695740198
